,City,Latitude,Humidity (%),Wind Speed (mph),Cloudyness (%)
0,sakaiminato,35.55,66,17.22,75
1,hasaki,35.73,83,14.99,75
2,atambua,-9.11,71,4.63,0
3,nantucket,41.28,100,6.93,1
4,westport,53.8,100,9.17,75
5,vaini,15.34,99,11.68,92
6,mataura,-46.19,94,2.84,0
7,busselton,-33.64,100,16.49,76
8,nanortalik,60.14,100,10.56,76
9,nizwa,22.93,17,4.41,0
10,saskylakh,71.97,64,15.48,0
11,boddam,57.47,87,2.24,8
12,bluff,-23.58,38,9.1,80
13,vao,59.1,75,12.35,76
14,jiuquan,39.73,93,3.62,68
15,hermanus,-34.42,85,8.77,68
16,castro,-42.48,99,5.64,92
17,honiara,-9.43,62,4.7,20
18,gat,14.69,94,8.66,76
19,saint-philippe,45.36,78,8.05,1
20,jamestown,-33.21,97,17.6,92
21,geraldton,49.72,100,3.36,75
22,ponta do sol,-20.63,86,2.39,8
23,cheyenne,41.14,71,5.82,20
24,avarua,-21.21,83,2.24,20
25,dikson,73.51,95,16.49,92
26,manta,45.1,84,4.07,0
27,yulara,-25.24,23,11.41,0
28,hilo,19.71,74,3.36,75
29,bacong,6.14,98,9.66,24
30,kralendijk,12.15,88,17.22,44
31,maceio,-9.67,100,2.24,0
32,longyearbyen,78.22,100,3.36,90
33,plaster rock,46.91,82,2.84,1
34,nybro,56.75,72,12.75,0
35,lithakia,37.72,69,2.06,0
36,kavieng,-2.57,100,8.77,100
37,butaritari,3.07,100,7.43,68
38,cape town,-33.93,87,17.22,75
39,gilgit,35.92,24,0.04,0
40,ribas do rio pardo,-20.45,98,7.76,92
41,ushuaia,-54.81,80,5.82,40
42,tuktoyaktuk,69.44,93,6.93,90
43,vanderhoof,54.02,70,2.39,0
44,qaanaaq,77.48,83,12.57,64
45,rikitea,-23.12,97,18.84,48
46,huntington,38.42,94,2.17,1
47,hobart,-42.88,54,8.05,75
48,albany,42.65,83,2.17,20
49,lagoa,37.14,50,1.12,0
50,auburn,32.61,100,2.39,1
51,new norfolk,-42.78,54,8.05,75
52,arraial do cabo,-22.97,100,7.99,76
53,dana point,33.47,88,2.39,90
54,dicamay,16.76,86,3.4,92
55,bilma,18.69,47,6.76,8
56,cidreira,-30.17,93,6.08,0
57,bambous virieux,-20.34,57,17.22,40
58,shahreza,32.01,18,3.62,0
59,airai,-8.93,41,2.06,20
60,kamina,-8.74,68,2.51,0
61,wichita falls,33.91,45,11.41,1
62,roald,62.58,81,4.7,75
63,trapani,38.02,78,2.24,0
64,guangzhou,23.13,52,2.24,40
65,katsuura,33.93,50,3.36,20
66,san patricio,-26.98,81,2.17,0
67,palmer,-34.85,66,16.11,0
68,masuguru,-11.38,64,4.18,0
69,pringsewu,-5.36,56,3.74,32
70,kahului,20.89,78,17.22,40
71,bredasdorp,-34.53,66,8.05,56
72,mar del plata,-46.43,83,9.22,0
73,los llanos de aridane,28.66,83,14.99,0
74,sitka,37.17,36,17.49,36
75,srednekolymsk,67.46,61,4.41,0
76,chuy,-33.69,90,2.95,0
77,nioro,13.79,95,7.76,32
78,saint george,39.45,56,3.36,0
79,zaragoza,41.65,69,5.82,0
80,tiksi,71.64,75,11.45,0
81,atuona,-9.8,100,19.84,80
82,sines,37.96,88,9.44,0
83,coffeyville,37.04,65,9.17,1
84,dalvik,57.79,82,5.82,0
85,mamakan,57.82,69,3.06,88
86,torbay,47.66,100,16.11,90
87,port elizabeth,39.31,94,7.87,1
88,santa ana,13.99,95,2.17,12
89,okaya,36.08,41,10.29,20
90,praia,-20.25,88,2.24,0
91,mahebourg,-20.41,57,17.22,40
92,slave lake,55.28,77,2.62,1
93,saldanha,41.42,71,2.62,0
94,punta arenas,-53.16,100,4.7,90
95,scottsbluff,41.87,93,18.34,40
96,hualmay,-11.1,94,4.74,36
97,barrow,-38.31,54,10.11,0
98,krasnoarmeysk,56.12,77,6.71,0
99,haines junction,60.75,68,2.17,12
100,puerto maldonado,-12.59,88,3.29,68
101,lanigan,51.85,59,5.75,0
102,calvia,39.57,94,2.24,0
